n,run,backtracking_time,backtracking_states,forward_checking_time,forward_checking_states
4,1,0.0,60,0.0,16
4,2,0.0,60,0.0,16
4,3,0.0,60,0.0,16
4,4,0.0,60,0.0,16
4,5,0.0,60,0.0,16
4,6,0.0,60,0.0,16
4,7,0.0,60,0.0,16
4,8,0.0,60,0.0,16
4,9,0.0,60,0.0,16
4,10,0.0,60,0.0,16
4,11,0.0,60,0.0,16
4,12,0.0,60,0.0,16
4,13,0.0,60,0.0,16
4,14,0.0,60,0.0,16
4,15,0.0,60,0.0,16
4,16,0.0,60,0.0,16
4,17,0.0,60,0.0,16
4,18,0.0,60,0.0,16
4,19,0.0,60,0.0,16
4,20,0.0,60,0.0,16
4,21,0.0,60,0.0,16
4,22,0.0,60,0.0,16
4,23,0.0,60,0.0,16
4,24,0.0,60,0.0,16
4,25,0.0,60,0.0,16
4,26,0.0,60,0.0,16
4,27,0.0,60,0.0,16
4,28,0.0,60,0.0,16
4,29,0.0,60,0.0,16
4,30,0.0,60,0.0,16
8,1,0.004559993743896484,15720,0.0,1724
8,2,0.0,15720,0.016254425048828125,1724
8,3,0.0,15720,0.0,1724
8,4,0.016703128814697266,15720,0.0,1724
8,5,0.0,15720,0.01665806770324707,1724
8,6,0.0,15720,0.0,1724
8,7,0.02027583122253418,15720,0.0,1724
8,8,0.0,15720,0.014484882354736328,1724
8,9,0.0,15720,0.011116981506347656,1724
8,10,0.0043582916259765625,15720,0.0,1724
8,11,0.01603102684020996,15720,0.0003497600555419922,1724
8,12,0.0,15720,0.0,1724
8,13,0.017121076583862305,15720,0.0,1724
8,14,0.015108585357666016,15720,0.0012137889862060547,1724
8,15,0.0,15720,0.0,1724
8,16,0.01662278175354004,15720,0.0,1724
8,17,0.0,15720,0.01661968231201172,1724
8,18,0.0,15720,0.012611150741577148,1724
8,19,0.004059553146362305,15720,0.0,1724
8,20,0.0164797306060791,15720,0.0025267601013183594,1724
8,21,0.0,15720,0.0,1724
8,22,0.014663219451904297,15720,0.0,1724
8,23,0.016384363174438477,15720,0.017071008682250977,1724
8,24,0.0,15720,0.0,1724
8,25,0.016427993774414062,15720,0.0,1724
8,26,0.01260066032409668,15720,0.003798961639404297,1724
8,27,0.0,15720,0.0,1724
8,28,0.016827821731567383,15720,0.0,1724
8,29,0.0,15720,0.01655101776123047,1724
8,30,0.0,15720,0.0,1724
10,1,0.1666700839996338,348150,0.08366608619689941,27832
10,2,0.16608524322509766,348150,0.0785071849822998,27832
10,3,0.16913676261901855,348150,0.07294416427612305,27832
10,4,0.16071844100952148,348150,0.06700587272644043,27832
10,5,0.1681528091430664,348150,0.06289362907409668,27832
10,6,0.1721019744873047,348150,0.07822442054748535,27832
10,7,0.15761303901672363,348150,0.07872390747070312,27832
10,8,0.16939210891723633,348150,0.06262969970703125,27832
10,9,0.1735384464263916,348150,0.06246042251586914,27832
10,10,0.17777252197265625,348150,0.07690763473510742,27832
10,11,0.1615140438079834,348150,0.07071352005004883,27832
10,12,0.16310858726501465,348150,0.07880187034606934,27832
10,13,0.16540217399597168,348150,0.07872319221496582,27832
10,14,0.16045665740966797,348150,0.08384513854980469,27832
10,15,0.1635289192199707,348150,0.0631875991821289,27832
10,16,0.1790463924407959,348150,0.059111595153808594,27832
10,17,0.18062138557434082,348150,0.06720638275146484,27832
10,18,0.1736927032470703,348150,0.06191897392272949,27832
10,19,0.1732940673828125,348150,0.07677292823791504,27832
10,20,0.15712761878967285,348150,0.07715868949890137,27832
10,21,0.16907453536987305,348150,0.06766414642333984,27832
10,22,0.17272281646728516,348150,0.07456493377685547,27832
10,23,0.15664410591125488,348150,0.07851910591125488,27832
10,24,0.16082215309143066,348150,0.08363199234008789,27832
10,25,0.16211271286010742,348150,0.07870173454284668,27832
10,26,0.16635608673095703,348150,0.07490873336791992,27832
10,27,0.1629171371459961,348150,0.06248068809509277,27832
10,28,0.1791245937347412,348150,0.0627138614654541,27832
10,29,0.16424202919006348,348150,0.07822966575622559,27832
10,30,0.17327237129211426,348150,0.07225728034973145,27832
